                                                                                                                                    
{'loss': '0.6962', 'grad_norm': '7.664', 'learning_rate': '4.5e-08', 'rewards/chosen': '-0.002464', 'rewards/rejected': '0.00325', 'rewards/accuracies': '0.25', 'rewards/margins': '-0.005715', 'logps/chosen': '-95.66', 'logps/rejected': '-68.87', 'logits/chosen': '1.546', 'logits/rejected': '1.634', 'epoch': '0.0107'}
{'loss': '0.6936', 'grad_norm': '7.944', 'learning_rate': '9.5e-08', 'rewards/chosen': '-0.001638', 'rewards/rejected': '-0.001155', 'rewards/accuracies': '0.55', 'rewards/margins': '-0.0004829', 'logps/chosen': '-103', 'logps/rejected': '-69.4', 'logits/chosen': '1.569', 'logits/rejected': '1.683', 'epoch': '0.02141'}
{'loss': '0.6963', 'grad_norm': '9.801', 'learning_rate': '1.45e-07', 'rewards/chosen': '-0.01028', 'rewards/rejected': '-0.004362', 'rewards/accuracies': '0.45', 'rewards/margins': '-0.005914', 'logps/chosen': '-98.28', 'logps/rejected': '-68.61', 'logits/chosen': '1.614', 'logits/rejected': '1.715', 'epoch': '0.03211'}
{'loss': '0.6902', 'grad_norm': '8.499', 'learning_rate': '1.95e-07', 'rewards/chosen': '0.001862', 'rewards/rejected': '-0.00469', 'rewards/accuracies': '0.525', 'rewards/margins': '0.006551', 'logps/chosen': '-94.13', 'logps/rejected': '-68.44', 'logits/chosen': '1.55', 'logits/rejected': '1.669', 'epoch': '0.04282'}
{'loss': '0.6954', 'grad_norm': '7.34', 'learning_rate': '2.45e-07', 'rewards/chosen': '-0.001333', 'rewards/rejected': '0.002668', 'rewards/accuracies': '0.475', 'rewards/margins': '-0.004002', 'logps/chosen': '-96.29', 'logps/rejected': '-69.51', 'logits/chosen': '1.513', 'logits/rejected': '1.694', 'epoch': '0.05352'}
{'loss': '0.69', 'grad_norm': '7.616', 'learning_rate': '2.95e-07', 'rewards/chosen': '0.006555', 'rewards/rejected': '-0.0003602', 'rewards/accuracies': '0.525', 'rewards/margins': '0.006915', 'logps/chosen': '-95.89', 'logps/rejected': '-69.35', 'logits/chosen': '1.445', 'logits/rejected': '1.666', 'epoch': '0.06422'}
{'loss': '0.6874', 'grad_norm': '8.236', 'learning_rate': '3.45e-07', 'rewards/chosen': '0.009662', 'rewards/rejected': '-0.002256', 'rewards/accuracies': '0.6', 'rewards/margins': '0.01192', 'logps/chosen': '-96.81', 'logps/rejected': '-69.86', 'logits/chosen': '1.581', 'logits/rejected': '1.67', 'epoch': '0.07493'}
{'loss': '0.6876', 'grad_norm': '8.22', 'learning_rate': '3.95e-07', 'rewards/chosen': '0.003524', 'rewards/rejected': '-0.008125', 'rewards/accuracies': '0.525', 'rewards/margins': '0.01165', 'logps/chosen': '-93.53', 'logps/rejected': '-68.52', 'logits/chosen': '1.585', 'logits/rejected': '1.662', 'epoch': '0.08563'}
{'loss': '0.6862', 'grad_norm': '8.623', 'learning_rate': '4.45e-07', 'rewards/chosen': '0.009107', 'rewards/rejected': '-0.005323', 'rewards/accuracies': '0.625', 'rewards/margins': '0.01443', 'logps/chosen': '-100.6', 'logps/rejected': '-70.13', 'logits/chosen': '1.553', 'logits/rejected': '1.625', 'epoch': '0.09633'}
{'loss': '0.6753', 'grad_norm': '9.323', 'learning_rate': '4.95e-07', 'rewards/chosen': '0.02364', 'rewards/rejected': '-0.01314', 'rewards/accuracies': '0.725', 'rewards/margins': '0.03678', 'logps/chosen': '-102.7', 'logps/rejected': '-69.02', 'logits/chosen': '1.508', 'logits/rejected': '1.666', 'epoch': '0.107'}
{'loss': '0.6748', 'grad_norm': '9.538', 'learning_rate': '4.946e-07', 'rewards/chosen': '0.03098', 'rewards/rejected': '-0.006571', 'rewards/accuracies': '0.7625', 'rewards/margins': '0.03755', 'logps/chosen': '-102.3', 'logps/rejected': '-68.1', 'logits/chosen': '1.581', 'logits/rejected': '1.662', 'epoch': '0.1177'}
{'loss': '0.6665', 'grad_norm': '8.48', 'learning_rate': '4.886e-07', 'rewards/chosen': '0.03427', 'rewards/rejected': '-0.02047', 'rewards/accuracies': '0.8625', 'rewards/margins': '0.05475', 'logps/chosen': '-98.18', 'logps/rejected': '-69.5', 'logits/chosen': '1.548', 'logits/rejected': '1.656', 'epoch': '0.1284'}
{'loss': '0.66', 'grad_norm': '9.706', 'learning_rate': '4.826e-07', 'rewards/chosen': '0.04009', 'rewards/rejected': '-0.02797', 'rewards/accuracies': '0.9125', 'rewards/margins': '0.06806', 'logps/chosen': '-90.46', 'logps/rejected': '-69.2', 'logits/chosen': '1.509', 'logits/rejected': '1.663', 'epoch': '0.1391'}
{'loss': '0.6499', 'grad_norm': '8.278', 'learning_rate': '4.766e-07', 'rewards/chosen': '0.05479', 'rewards/rejected': '-0.03426', 'rewards/accuracies': '0.975', 'rewards/margins': '0.08905', 'logps/chosen': '-90.57', 'logps/rejected': '-68.2', 'logits/chosen': '1.525', 'logits/rejected': '1.67', 'epoch': '0.1499'}
{'loss': '0.6469', 'grad_norm': '9.161', 'learning_rate': '4.707e-07', 'rewards/chosen': '0.06164', 'rewards/rejected': '-0.03376', 'rewards/accuracies': '0.975', 'rewards/margins': '0.0954', 'logps/chosen': '-99.1', 'logps/rejected': '-69.46', 'logits/chosen': '1.516', 'logits/rejected': '1.724', 'epoch': '0.1606'}
