                                                                                                                                    
{'loss': '0.6956', 'grad_norm': '7.75', 'learning_rate': '4.5e-08', 'rewards/chosen': '-0.005866', 'rewards/rejected': '-0.00129', 'rewards/accuracies': '0.275', 'rewards/margins': '-0.004576', 'logps/chosen': '-142.2', 'logps/rejected': '-68.85', 'logits/chosen': '1.639', 'logits/rejected': '1.634', 'epoch': '0.0107'}
{'loss': '0.6929', 'grad_norm': '8.053', 'learning_rate': '9.5e-08', 'rewards/chosen': '-0.001132', 'rewards/rejected': '-0.002323', 'rewards/accuracies': '0.475', 'rewards/margins': '0.001191', 'logps/chosen': '-157.9', 'logps/rejected': '-69.39', 'logits/chosen': '1.659', 'logits/rejected': '1.683', 'epoch': '0.02141'}
{'loss': '0.6992', 'grad_norm': '8.698', 'learning_rate': '1.45e-07', 'rewards/chosen': '-0.009929', 'rewards/rejected': '0.001573', 'rewards/accuracies': '0.375', 'rewards/margins': '-0.0115', 'logps/chosen': '-145.9', 'logps/rejected': '-68.55', 'logits/chosen': '1.705', 'logits/rejected': '1.715', 'epoch': '0.03211'}
{'loss': '0.6936', 'grad_norm': '7.451', 'learning_rate': '1.95e-07', 'rewards/chosen': '-0.006067', 'rewards/rejected': '-0.005623', 'rewards/accuracies': '0.5625', 'rewards/margins': '-0.0004436', 'logps/chosen': '-145', 'logps/rejected': '-68.42', 'logits/chosen': '1.645', 'logits/rejected': '1.668', 'epoch': '0.04282'}
{'loss': '0.6948', 'grad_norm': '6.916', 'learning_rate': '2.45e-07', 'rewards/chosen': '-0.001155', 'rewards/rejected': '0.001518', 'rewards/accuracies': '0.425', 'rewards/margins': '-0.002672', 'logps/chosen': '-150.6', 'logps/rejected': '-69.54', 'logits/chosen': '1.608', 'logits/rejected': '1.694', 'epoch': '0.05352'}
{'loss': '0.6928', 'grad_norm': '7.561', 'learning_rate': '2.95e-07', 'rewards/chosen': '-0.0004088', 'rewards/rejected': '-0.001727', 'rewards/accuracies': '0.525', 'rewards/margins': '0.001319', 'logps/chosen': '-150.7', 'logps/rejected': '-69.34', 'logits/chosen': '1.565', 'logits/rejected': '1.665', 'epoch': '0.06422'}
{'loss': '0.6903', 'grad_norm': '8.58', 'learning_rate': '3.45e-07', 'rewards/chosen': '0.004759', 'rewards/rejected': '-0.001546', 'rewards/accuracies': '0.5125', 'rewards/margins': '0.006305', 'logps/chosen': '-147.6', 'logps/rejected': '-69.85', 'logits/chosen': '1.686', 'logits/rejected': '1.669', 'epoch': '0.07493'}
{'loss': '0.6872', 'grad_norm': '7.791', 'learning_rate': '3.95e-07', 'rewards/chosen': '0.00254', 'rewards/rejected': '-0.009852', 'rewards/accuracies': '0.6', 'rewards/margins': '0.01239', 'logps/chosen': '-140.1', 'logps/rejected': '-68.55', 'logits/chosen': '1.683', 'logits/rejected': '1.66', 'epoch': '0.08563'}
{'loss': '0.6854', 'grad_norm': '8.095', 'learning_rate': '4.45e-07', 'rewards/chosen': '0.006183', 'rewards/rejected': '-0.009981', 'rewards/accuracies': '0.675', 'rewards/margins': '0.01616', 'logps/chosen': '-143.5', 'logps/rejected': '-70.16', 'logits/chosen': '1.636', 'logits/rejected': '1.625', 'epoch': '0.09633'}
{'loss': '0.6832', 'grad_norm': '9.141', 'learning_rate': '4.95e-07', 'rewards/chosen': '0.01003', 'rewards/rejected': '-0.01072', 'rewards/accuracies': '0.625', 'rewards/margins': '0.02075', 'logps/chosen': '-145.5', 'logps/rejected': '-69.01', 'logits/chosen': '1.618', 'logits/rejected': '1.666', 'epoch': '0.107'}
{'loss': '0.6741', 'grad_norm': '9.399', 'learning_rate': '4.946e-07', 'rewards/chosen': '0.02882', 'rewards/rejected': '-0.01039', 'rewards/accuracies': '0.775', 'rewards/margins': '0.03921', 'logps/chosen': '-160.3', 'logps/rejected': '-68.11', 'logits/chosen': '1.687', 'logits/rejected': '1.659', 'epoch': '0.1177'}
{'loss': '0.6723', 'grad_norm': '8.396', 'learning_rate': '4.886e-07', 'rewards/chosen': '0.02873', 'rewards/rejected': '-0.01431', 'rewards/accuracies': '0.75', 'rewards/margins': '0.04303', 'logps/chosen': '-152.7', 'logps/rejected': '-69.44', 'logits/chosen': '1.657', 'logits/rejected': '1.655', 'epoch': '0.1284'}
{'loss': '0.6657', 'grad_norm': '9.177', 'learning_rate': '4.826e-07', 'rewards/chosen': '0.03758', 'rewards/rejected': '-0.01884', 'rewards/accuracies': '0.9125', 'rewards/margins': '0.05642', 'logps/chosen': '-139.4', 'logps/rejected': '-69.15', 'logits/chosen': '1.607', 'logits/rejected': '1.66', 'epoch': '0.1391'}
{'loss': '0.6596', 'grad_norm': '7.868', 'learning_rate': '4.766e-07', 'rewards/chosen': '0.04695', 'rewards/rejected': '-0.02186', 'rewards/accuracies': '0.9375', 'rewards/margins': '0.06881', 'logps/chosen': '-136.2', 'logps/rejected': '-68.1', 'logits/chosen': '1.614', 'logits/rejected': '1.671', 'epoch': '0.1499'}
