                                                                                                                                    
{'loss': '0.6907', 'grad_norm': '8.051', 'learning_rate': '4.5e-08', 'rewards/chosen': '0.003895', 'rewards/rejected': '-0.001461', 'rewards/accuracies': '0.3375', 'rewards/margins': '0.005356', 'logps/chosen': '-154.8', 'logps/rejected': '-68.84', 'logits/chosen': '1.663', 'logits/rejected': '1.634', 'epoch': '0.0107'}
{'loss': '0.6951', 'grad_norm': '8.104', 'learning_rate': '9.5e-08', 'rewards/chosen': '-0.002559', 'rewards/rejected': '0.0006581', 'rewards/accuracies': '0.4875', 'rewards/margins': '-0.003217', 'logps/chosen': '-172', 'logps/rejected': '-69.37', 'logits/chosen': '1.681', 'logits/rejected': '1.683', 'epoch': '0.02141'}
{'loss': '0.6947', 'grad_norm': '9.028', 'learning_rate': '1.45e-07', 'rewards/chosen': '-0.005592', 'rewards/rejected': '-0.003075', 'rewards/accuracies': '0.5', 'rewards/margins': '-0.002518', 'logps/chosen': '-156.5', 'logps/rejected': '-68.61', 'logits/chosen': '1.729', 'logits/rejected': '1.717', 'epoch': '0.03211'}
{'loss': '0.694', 'grad_norm': '7.641', 'learning_rate': '1.95e-07', 'rewards/chosen': '-0.0001951', 'rewards/rejected': '0.0008314', 'rewards/accuracies': '0.5', 'rewards/margins': '-0.001027', 'logps/chosen': '-163.2', 'logps/rejected': '-68.4', 'logits/chosen': '1.694', 'logits/rejected': '1.67', 'epoch': '0.04282'}
{'loss': '0.6936', 'grad_norm': '7.413', 'learning_rate': '2.45e-07', 'rewards/chosen': '0.001828', 'rewards/rejected': '0.002074', 'rewards/accuracies': '0.4375', 'rewards/margins': '-0.000246', 'logps/chosen': '-164.5', 'logps/rejected': '-69.54', 'logits/chosen': '1.66', 'logits/rejected': '1.695', 'epoch': '0.05352'}
{'loss': '0.6921', 'grad_norm': '8.289', 'learning_rate': '2.95e-07', 'rewards/chosen': '-0.005006', 'rewards/rejected': '-0.00754', 'rewards/accuracies': '0.55', 'rewards/margins': '0.002534', 'logps/chosen': '-165.6', 'logps/rejected': '-69.38', 'logits/chosen': '1.581', 'logits/rejected': '1.664', 'epoch': '0.06422'}
{'loss': '0.6941', 'grad_norm': '8.453', 'learning_rate': '3.45e-07', 'rewards/chosen': '-0.0003922', 'rewards/rejected': '0.0007972', 'rewards/accuracies': '0.45', 'rewards/margins': '-0.001189', 'logps/chosen': '-158.3', 'logps/rejected': '-69.83', 'logits/chosen': '1.714', 'logits/rejected': '1.669', 'epoch': '0.07493'}
{'loss': '0.6943', 'grad_norm': '8.082', 'learning_rate': '3.95e-07', 'rewards/chosen': '-0.009061', 'rewards/rejected': '-0.007441', 'rewards/accuracies': '0.475', 'rewards/margins': '-0.00162', 'logps/chosen': '-148.6', 'logps/rejected': '-68.53', 'logits/chosen': '1.706', 'logits/rejected': '1.659', 'epoch': '0.08563'}
{'loss': '0.6829', 'grad_norm': '8.941', 'learning_rate': '4.45e-07', 'rewards/chosen': '0.01384', 'rewards/rejected': '-0.007248', 'rewards/accuracies': '0.7375', 'rewards/margins': '0.02109', 'logps/chosen': '-158.2', 'logps/rejected': '-70.14', 'logits/chosen': '1.662', 'logits/rejected': '1.624', 'epoch': '0.09633'}
{'loss': '0.6811', 'grad_norm': '9.478', 'learning_rate': '4.95e-07', 'rewards/chosen': '0.01324', 'rewards/rejected': '-0.01192', 'rewards/accuracies': '0.625', 'rewards/margins': '0.02516', 'logps/chosen': '-157.5', 'logps/rejected': '-69.01', 'logits/chosen': '1.642', 'logits/rejected': '1.665', 'epoch': '0.107'}
{'loss': '0.6752', 'grad_norm': '9.908', 'learning_rate': '4.946e-07', 'rewards/chosen': '0.02675', 'rewards/rejected': '-0.01024', 'rewards/accuracies': '0.7625', 'rewards/margins': '0.03699', 'logps/chosen': '-174.9', 'logps/rejected': '-68.1', 'logits/chosen': '1.719', 'logits/rejected': '1.66', 'epoch': '0.1177'}
{'loss': '0.6648', 'grad_norm': '8.415', 'learning_rate': '4.886e-07', 'rewards/chosen': '0.0353', 'rewards/rejected': '-0.02304', 'rewards/accuracies': '0.85', 'rewards/margins': '0.05834', 'logps/chosen': '-167.3', 'logps/rejected': '-69.48', 'logits/chosen': '1.691', 'logits/rejected': '1.657', 'epoch': '0.1284'}
