                                                                                                                                                                                 
{'loss': '0.6922', 'grad_norm': '7.741', 'learning_rate': '4.5e-08', 'rewards/chosen': '0.001897', 'rewards/rejected': '-0.0003265', 'rewards/accuracies': '0.35', 'rewards/margins': '0.002224', 'logps/chosen': '-137.7', 'logps/rejected': '-68.58', 'logits/chosen': '1.641', 'logits/rejected': '1.647', 'epoch': '0.01071'}
{'loss': '0.6981', 'grad_norm': '8.084', 'learning_rate': '9.5e-08', 'rewards/chosen': '-0.007431', 'rewards/rejected': '0.001993', 'rewards/accuracies': '0.4', 'rewards/margins': '-0.009425', 'logps/chosen': '-127', 'logps/rejected': '-69.38', 'logits/chosen': '1.63', 'logits/rejected': '1.62', 'epoch': '0.02141'}
{'loss': '0.695', 'grad_norm': '8.292', 'learning_rate': '1.45e-07', 'rewards/chosen': '-0.00488', 'rewards/rejected': '-0.001664', 'rewards/accuracies': '0.475', 'rewards/margins': '-0.003216', 'logps/chosen': '-132.1', 'logps/rejected': '-68.65', 'logits/chosen': '1.635', 'logits/rejected': '1.677', 'epoch': '0.03212'}
{'loss': '0.6928', 'grad_norm': '8.421', 'learning_rate': '1.95e-07', 'rewards/chosen': '-0.002278', 'rewards/rejected': '-0.003553', 'rewards/accuracies': '0.5375', 'rewards/margins': '0.001274', 'logps/chosen': '-123.4', 'logps/rejected': '-69.38', 'logits/chosen': '1.521', 'logits/rejected': '1.668', 'epoch': '0.04283'}
{'loss': '0.6869', 'grad_norm': '7.814', 'learning_rate': '2.45e-07', 'rewards/chosen': '0.009454', 'rewards/rejected': '-0.003571', 'rewards/accuracies': '0.5625', 'rewards/margins': '0.01302', 'logps/chosen': '-146.6', 'logps/rejected': '-69.68', 'logits/chosen': '1.759', 'logits/rejected': '1.624', 'epoch': '0.05353'}
{'loss': '0.6957', 'grad_norm': '7.761', 'learning_rate': '2.95e-07', 'rewards/chosen': '-0.00241', 'rewards/rejected': '0.001894', 'rewards/accuracies': '0.45', 'rewards/margins': '-0.004303', 'logps/chosen': '-128.6', 'logps/rejected': '-68.86', 'logits/chosen': '1.574', 'logits/rejected': '1.662', 'epoch': '0.06424'}
{'loss': '0.6938', 'grad_norm': '8.806', 'learning_rate': '3.45e-07', 'rewards/chosen': '0.001034', 'rewards/rejected': '0.001774', 'rewards/accuracies': '0.5375', 'rewards/margins': '-0.0007398', 'logps/chosen': '-131.7', 'logps/rejected': '-68.8', 'logits/chosen': '1.626', 'logits/rejected': '1.631', 'epoch': '0.07495'}
{'loss': '0.6912', 'grad_norm': '8.418', 'learning_rate': '3.95e-07', 'rewards/chosen': '-0.002546', 'rewards/rejected': '-0.006865', 'rewards/accuracies': '0.5', 'rewards/margins': '0.004319', 'logps/chosen': '-133.5', 'logps/rejected': '-68.41', 'logits/chosen': '1.695', 'logits/rejected': '1.703', 'epoch': '0.08565'}
{'loss': '0.6869', 'grad_norm': '8.606', 'learning_rate': '4.45e-07', 'rewards/chosen': '0.009873', 'rewards/rejected': '-0.003132', 'rewards/accuracies': '0.6375', 'rewards/margins': '0.01301', 'logps/chosen': '-122.4', 'logps/rejected': '-69.25', 'logits/chosen': '1.608', 'logits/rejected': '1.666', 'epoch': '0.09636'}
{'loss': '0.6835', 'grad_norm': '8.464', 'learning_rate': '4.95e-07', 'rewards/chosen': '0.01368', 'rewards/rejected': '-0.00634', 'rewards/accuracies': '0.6375', 'rewards/margins': '0.02002', 'logps/chosen': '-134.2', 'logps/rejected': '-68.35', 'logits/chosen': '1.653', 'logits/rejected': '1.618', 'epoch': '0.1071'}
{'loss': '0.6762', 'grad_norm': '7.88', 'learning_rate': '4.946e-07', 'rewards/chosen': '0.02649', 'rewards/rejected': '-0.008068', 'rewards/accuracies': '0.8125', 'rewards/margins': '0.03456', 'logps/chosen': '-122', 'logps/rejected': '-68.96', 'logits/chosen': '1.6', 'logits/rejected': '1.69', 'epoch': '0.1178'}
{'loss': '0.6703', 'grad_norm': '8.903', 'learning_rate': '4.886e-07', 'rewards/chosen': '0.02818', 'rewards/rejected': '-0.01852', 'rewards/accuracies': '0.8625', 'rewards/margins': '0.0467', 'logps/chosen': '-111.9', 'logps/rejected': '-69.07', 'logits/chosen': '1.521', 'logits/rejected': '1.717', 'epoch': '0.1285'}
{'loss': '0.6635', 'grad_norm': '8.137', 'learning_rate': '4.826e-07', 'rewards/chosen': '0.03936', 'rewards/rejected': '-0.02161', 'rewards/accuracies': '0.875', 'rewards/margins': '0.06098', 'logps/chosen': '-127.9', 'logps/rejected': '-68.2', 'logits/chosen': '1.624', 'logits/rejected': '1.654', 'epoch': '0.1392'}
