                                                                                            
{'loss': '2.494', 'grad_norm': '3.109', 'learning_rate': '1.8e-06', 'entropy': '1.244', 'num_tokens': '1.753e+04', 'mean_token_accuracy': '0.5847', 'epoch': '0.0107'}
{'loss': '2.453', 'grad_norm': '3.455', 'learning_rate': '3.8e-06', 'entropy': '1.223', 'num_tokens': '3.602e+04', 'mean_token_accuracy': '0.5892', 'epoch': '0.02141'}
{'loss': '2.547', 'grad_norm': '2.946', 'learning_rate': '5.8e-06', 'entropy': '1.31', 'num_tokens': '5.286e+04', 'mean_token_accuracy': '0.5691', 'epoch': '0.03211'}
{'loss': '2.406', 'grad_norm': '2.831', 'learning_rate': '7.8e-06', 'entropy': '1.298', 'num_tokens': '6.991e+04', 'mean_token_accuracy': '0.5876', 'epoch': '0.04282'}
{'loss': '2.222', 'grad_norm': '2.157', 'learning_rate': '9.8e-06', 'entropy': '1.317', 'num_tokens': '8.759e+04', 'mean_token_accuracy': '0.6131', 'epoch': '0.05352'}
{'loss': '2.121', 'grad_norm': '2.362', 'learning_rate': '1.18e-05', 'entropy': '1.37', 'num_tokens': '1.049e+05', 'mean_token_accuracy': '0.6204', 'epoch': '0.06422'}
{'loss': '1.865', 'grad_norm': '1.99', 'learning_rate': '1.38e-05', 'entropy': '1.357', 'num_tokens': '1.228e+05', 'mean_token_accuracy': '0.6458', 'epoch': '0.07493'}
{'loss': '1.678', 'grad_norm': '2.069', 'learning_rate': '1.58e-05', 'entropy': '1.341', 'num_tokens': '1.4e+05', 'mean_token_accuracy': '0.6616', 'epoch': '0.08563'}
{'loss': '1.515', 'grad_norm': '1.515', 'learning_rate': '1.78e-05', 'entropy': '1.401', 'num_tokens': '1.574e+05', 'mean_token_accuracy': '0.6875', 'epoch': '0.09633'}
{'loss': '1.294', 'grad_norm': '1.785', 'learning_rate': '1.98e-05', 'entropy': '1.295', 'num_tokens': '1.756e+05', 'mean_token_accuracy': '0.722', 'epoch': '0.107'}
{'loss': '1.154', 'grad_norm': '1.003', 'learning_rate': '1.978e-05', 'entropy': '1.185', 'num_tokens': '1.932e+05', 'mean_token_accuracy': '0.7388', 'epoch': '0.1177'}
{'loss': '1.041', 'grad_norm': '0.8924', 'learning_rate': '1.954e-05', 'entropy': '1.07', 'num_tokens': '2.111e+05', 'mean_token_accuracy': '0.7706', 'epoch': '0.1284'}
{'loss': '0.9226', 'grad_norm': '0.6888', 'learning_rate': '1.931e-05', 'entropy': '0.9171', 'num_tokens': '2.282e+05', 'mean_token_accuracy': '0.7953', 'epoch': '0.1391'}
{'loss': '0.9475', 'grad_norm': '0.7358', 'learning_rate': '1.907e-05', 'entropy': '0.9401', 'num_tokens': '2.447e+05', 'mean_token_accuracy': '0.7939', 'epoch': '0.1499'}
{'loss': '0.9587', 'grad_norm': '0.6444', 'learning_rate': '1.883e-05', 'entropy': '0.9577', 'num_tokens': '2.622e+05', 'mean_token_accuracy': '0.787', 'epoch': '0.1606'}
{'loss': '0.9379', 'grad_norm': '0.5586', 'learning_rate': '1.859e-05', 'entropy': '0.9328', 'num_tokens': '2.802e+05', 'mean_token_accuracy': '0.7951', 'epoch': '0.1713'}
{'loss': '0.9613', 'grad_norm': '0.6787', 'learning_rate': '1.835e-05', 'entropy': '0.9387', 'num_tokens': '2.975e+05', 'mean_token_accuracy': '0.7902', 'epoch': '0.182'}
{'loss': '0.9303', 'grad_norm': '0.7024', 'learning_rate': '1.811e-05', 'entropy': '0.9191', 'num_tokens': '3.15e+05', 'mean_token_accuracy': '0.7977', 'epoch': '0.1927'}
{'loss': '0.9534', 'grad_norm': '0.6805', 'learning_rate': '1.787e-05', 'entropy': '0.9337', 'num_tokens': '3.328e+05', 'mean_token_accuracy': '0.7904', 'epoch': '0.2034'}
{'loss': '0.895', 'grad_norm': '0.6226', 'learning_rate': '1.763e-05', 'entropy': '0.894', 'num_tokens': '3.502e+05', 'mean_token_accuracy': '0.8039', 'epoch': '0.2141'}
