                                                                                                            
{'loss': '0.693', 'grad_norm': '8.043', 'learning_rate': '4.5e-08', 'rewards/chosen': '0.002778', 'rewards/rejected': '0.002157', 'rewards/accuracies': '0.3625', 'rewards/margins': '0.0006214', 'logps/chosen': '-154.9', 'logps/rejected': '-68.91', 'logits/chosen': '1.662', 'logits/rejected': '1.632', 'epoch': '0.0107'}
{'loss': '0.6901', 'grad_norm': '7.908', 'learning_rate': '9.5e-08', 'rewards/chosen': '0.003247', 'rewards/rejected': '-0.003378', 'rewards/accuracies': '0.575', 'rewards/margins': '0.006624', 'logps/chosen': '-172', 'logps/rejected': '-69.43', 'logits/chosen': '1.68', 'logits/rejected': '1.682', 'epoch': '0.02141'}
{'loss': '0.6883', 'grad_norm': '8.849', 'learning_rate': '1.45e-07', 'rewards/chosen': '0.007782', 'rewards/rejected': '-0.002461', 'rewards/accuracies': '0.55', 'rewards/margins': '0.01024', 'logps/chosen': '-156.4', 'logps/rejected': '-68.6', 'logits/chosen': '1.729', 'logits/rejected': '1.715', 'epoch': '0.03211'}
{'loss': '0.6939', 'grad_norm': '7.736', 'learning_rate': '1.95e-07', 'rewards/chosen': '0.004688', 'rewards/rejected': '0.005638', 'rewards/accuracies': '0.5', 'rewards/margins': '-0.0009506', 'logps/chosen': '-163.2', 'logps/rejected': '-68.37', 'logits/chosen': '1.695', 'logits/rejected': '1.67', 'epoch': '0.04282'}
{'loss': '0.6954', 'grad_norm': '7.329', 'learning_rate': '2.45e-07', 'rewards/chosen': '-0.002543', 'rewards/rejected': '0.00136', 'rewards/accuracies': '0.3875', 'rewards/margins': '-0.003904', 'logps/chosen': '-164.5', 'logps/rejected': '-69.57', 'logits/chosen': '1.66', 'logits/rejected': '1.696', 'epoch': '0.05352'}
{'loss': '0.6892', 'grad_norm': '8.188', 'learning_rate': '2.95e-07', 'rewards/chosen': '0.007503', 'rewards/rejected': '-0.001007', 'rewards/accuracies': '0.5875', 'rewards/margins': '0.00851', 'logps/chosen': '-165.5', 'logps/rejected': '-69.34', 'logits/chosen': '1.583', 'logits/rejected': '1.666', 'epoch': '0.06422'}
{'loss': '0.69', 'grad_norm': '8.651', 'learning_rate': '3.45e-07', 'rewards/chosen': '0.004873', 'rewards/rejected': '-0.002025', 'rewards/accuracies': '0.6125', 'rewards/margins': '0.006897', 'logps/chosen': '-158.3', 'logps/rejected': '-69.85', 'logits/chosen': '1.715', 'logits/rejected': '1.67', 'epoch': '0.07493'}
{'loss': '0.69', 'grad_norm': '8.286', 'learning_rate': '3.95e-07', 'rewards/chosen': '0.003203', 'rewards/rejected': '-0.003597', 'rewards/accuracies': '0.55', 'rewards/margins': '0.0068', 'logps/chosen': '-148.6', 'logps/rejected': '-68.53', 'logits/chosen': '1.706', 'logits/rejected': '1.659', 'epoch': '0.08563'}
{'loss': '0.6846', 'grad_norm': '8.955', 'learning_rate': '4.45e-07', 'rewards/chosen': '0.01201', 'rewards/rejected': '-0.005697', 'rewards/accuracies': '0.65', 'rewards/margins': '0.01771', 'logps/chosen': '-158.3', 'logps/rejected': '-70.14', 'logits/chosen': '1.664', 'logits/rejected': '1.628', 'epoch': '0.09633'}
{'loss': '0.6819', 'grad_norm': '9.46', 'learning_rate': '4.95e-07', 'rewards/chosen': '0.01671', 'rewards/rejected': '-0.006855', 'rewards/accuracies': '0.65', 'rewards/margins': '0.02356', 'logps/chosen': '-157.4', 'logps/rejected': '-69', 'logits/chosen': '1.644', 'logits/rejected': '1.667', 'epoch': '0.107'}
{'loss': '0.6798', 'grad_norm': '9.954', 'learning_rate': '4.99e-07', 'rewards/chosen': '0.01923', 'rewards/rejected': '-0.008161', 'rewards/accuracies': '0.7', 'rewards/margins': '0.02739', 'logps/chosen': '-175', 'logps/rejected': '-68.09', 'logits/chosen': '1.717', 'logits/rejected': '1.66', 'epoch': '0.1177'}
{'loss': '0.673', 'grad_norm': '8.52', 'learning_rate': '4.979e-07', 'rewards/chosen': '0.03161', 'rewards/rejected': '-0.01001', 'rewards/accuracies': '0.775', 'rewards/margins': '0.04162', 'logps/chosen': '-167.4', 'logps/rejected': '-69.44', 'logits/chosen': '1.69', 'logits/rejected': '1.655', 'epoch': '0.1284'}
{'loss': '0.6615', 'grad_norm': '9.899', 'learning_rate': '4.968e-07', 'rewards/chosen': '0.04378', 'rewards/rejected': '-0.02101', 'rewards/accuracies': '0.975', 'rewards/margins': '0.0648', 'logps/chosen': '-152.7', 'logps/rejected': '-69.18', 'logits/chosen': '1.619', 'logits/rejected': '1.662', 'epoch': '0.1391'}
{'loss': '0.6616', 'grad_norm': '7.925', 'learning_rate': '4.957e-07', 'rewards/chosen': '0.04494', 'rewards/rejected': '-0.01978', 'rewards/accuracies': '0.8875', 'rewards/margins': '0.06472', 'logps/chosen': '-149.4', 'logps/rejected': '-68.1', 'logits/chosen': '1.653', 'logits/rejected': '1.669', 'epoch': '0.1499'}
